,Master Regulator,Expr Log Ratio,Molecule Type,Participating regulators,Depth,Predicted Activation,Activation z-score,p-value of overlap,Network bias-corrected p-value,Target Molecules in Dataset,Causal network,Target-connected regulators,sample,sig,overlap_upstreamreg
238,USP13, ,peptidase,"MCL1,RAD21,SMC3,STAT1,USP13",2,Activated,4.2,1.59e-07,0.001,"APOBEC3G,APOC3,BAX,C4A/C4B,CD14,CTSS,DDX60,GBP1,GBP2,GBP4,HLA-DRA,HLA-E,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MMP9,OAS1,STAT1,TAP1,TGFB1,TRIM21,VIM",25 (5),5,24hr_PROT_causal_unique,True,
240,JAK, ,group,JAK,1,Activated,3.162,1.7699999999999998e-07,0.0001,"DDX58,EIF2AK2,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,RSAD2,STAT1,VIM",10 (1),1,24hr_PROT_causal_unique,True,True
242,IFNA1/IFNA13, ,cytokine,"IFNA1/IFNA13,STAT1,STAT3,TYK2",2,Activated,4.529,3.47e-07,0.0337,"APOBEC3G,ATP6AP2,C4A/C4B,CD14,CD36,CD44,CHI3L1,COL1A1,CTSS,DDX60,DNMT1,GBP1,GBP2,GBP4,HK2,HLA-E,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,KAT2B,MMP2,MX1,NAMPT,NDRG1,NFATC2,NFKB2,NPM1,OAS2,PSIP1,PTPN2,RSAD2,SLC2A1,STAT1,TAP1,TRIM21,VIM",41 (4),4,24hr_PROT_causal_unique,True,True
243,USP27X, ,peptidase,"CGAS,USP27X",2,Activated,2.333,3.53e-07,0.0001,"CGAS,DDX60,HERC5,IFI44L,IFIT1,IFIT2,IFIT3,OAS1,RSAD2",9 (2),2,24hr_PROT_causal_unique,True,
244,Interferon alpha, ,group,Interferon alpha,1,Activated,4.315,3.5799999999999995e-07,0.0055,"APOBEC3F,APOBEC3G,CASP1,CGAS,DDX58,EIF1,EIF2AK2,GBP1,IFIH1,IFIT1,IFIT2,IFIT3,IRF8,ISG15,MX1,OAS1,OAS2,PML,RSAD2,SERPINB9,SLC1A5,SLFN5,SPRY2,STAT1,STAT2,STAT4",26 (1),1,24hr_PROT_causal_unique,True,True
245,LIFR, ,transmembrane receptor,"JAK1,LIFR,STAT1,STAT3",2,Activated,4.529,3.87e-07,0.0353,"APOBEC3G,ATP6AP2,C4A/C4B,CD14,CD44,CHI3L1,COL1A1,CTSS,DDX60,DNMT1,GBP1,GBP2,GBP4,HK2,HLA-A,HLA-C,HLA-E,HLA-F,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,KAT2B,MMP2,MX1,NAMPT,NDRG1,NFATC2,NFKB2,NPM1,OAS1,PSIP1,PTPN2,SLC2A1,TAP1,TRIM21,VIM",41 (4),3,24hr_PROT_causal_unique,True,
250,ARF6,0.611,transporter,"ARF6,IRF3,NFkB (complex),RAC1",2,Activated,3.333,7e-07,0.0494,"ABCB1,C3,CCL4,CEBPB,DDX58,ERAP1,FABP5,FN1,FOSL1,HERC5,HLA-F,HMOX1,IFI44L,IFIH1,IFIT1,IFIT2,IRF5,ISG15,JUN,KYNU,MMP2,MMP9,MTA1,NAMPT,NFKB1,NFKB2,OAS1,PLAU,PXN,RSAD2,SAR1A,TAP1,TDO2,TGFB1,TGM2,VIM",36 (4),4,24hr_PROT_causal_unique,True,
253,STING1,0.100,other,"IFN type 1,NFKB1,STAT1,STING1",2,Activated,4.271,1.09e-06,0.01,"APOBEC3G,C4A/C4B,CD14,CD44,CHI3L1,CTSS,DDX60,FN1,GBP1,GBP2,GBP4,HLA-E,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,KHSRP,NAMPT,NFKB2,OAS1,PLAU,RSAD2,STAT1,TAP1,TRIM21",29 (4),4,24hr_PROT_causal_unique,True,True
254,FOXC1, ,transcription regulator,FOXC1,1,Activated,3.411,1.53e-06,0.0037,"B2M,CSTA,ECM1,GBP1,GBP4,HLA-B,HLA-C,HLA-F,IFI35,IFIT1,IFIT2,IFIT3,IGFBP3,ISG15,KRT10,MX1,OAS1,OAS2,OAS3,OASL,STAT1,STAT2",22 (1),1,24hr_PROT_causal_unique,True,True
255,CGAS,-0.750,enzyme,"CGAS,IFN type 1,STAT1",2,Activated,3.9619999999999997,1.65e-06,0.0035,"APOBEC3G,C4A/C4B,CD14,CTSS,DDX60,GBP1,GBP2,GBP4,HERC5,HLA-E,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MMP9,OAS1,RSAD2,STAT1,TAP1,TRIM21",23 (3),3,24hr_PROT_causal_unique,True,True
256,SOCS1, ,other,SOCS1,1,Inhibited,-3.051,1.75e-06,0.0014,"BAX,DDX58,IFIH1,IFIT1,IFIT2,ISG15,MX1,OAS1,OAS2,RELA,RSAD2,STAT6,TGM2",13 (1),1,24hr_PROT_causal_unique,True,True
257,HSF1, ,transcription regulator,"EIF2A,HSF1,JINK1/2",2,Inhibited,-2.449,2.04e-06,0.0016,"BAG3,BAX,CBX3,DNMT1,EFEMP1,FBLN1,HSPB1,HSPE1,ITGB5,MBOAT7,MRPL18,NASP,NCOR1,PCK2,PLG,RAB5C,RANBP1,RRAD,SERPINH1,SMC1A,SSBP1,ST13,STAT6,STIP1",24 (3),3,24hr_PROT_causal_unique,True,True
260,CGAS,-0.750,enzyme,CGAS,1,Activated,2.8280000000000003,2.8e-06,0.0002,"DDX60,HERC5,IFI44L,IFIT1,IFIT2,IFIT3,OAS1,RSAD2",8 (1),1,24hr_PROT_causal_unique,True,True
261,PKD2, ,ion channel,"MAP2K1,PKD2,STAT1",2,Inhibited,-3.0,3.27e-06,0.0112,"C4A/C4B,CD14,CTSS,DDX60,DNMT1,FOSL1,GBP1,GBP2,GBP4,HLA-E,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,JUND,LGALS3,MMP2,MMP9,OAS1,TAP1,TREM2,TRIM21",25 (3),2,24hr_PROT_causal_unique,True,
262,IFNB1, ,cytokine,IFNB1,1,Activated,2.887,4.39e-06,0.0027,"CASP1,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MMP9,MX1,OAS2,PML,STAT1,STAT2",12 (1),1,24hr_PROT_causal_unique,True,True
264,EIF2AK4,0.140,kinase,"EIF2AK4,STAT1",2,Inhibited,-3.411,5.08e-06,0.0066,"APOBEC3G,ASNS,C4A/C4B,CD14,CTSS,DDX60,GBP1,GBP2,GBP4,HLA-E,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MMP9,OAS1,PCK2,PSEN1,TAP1,TRIM21",22 (2),2,24hr_PROT_causal_unique,True,
266,FENDRR, ,other,"FENDRR,MMP2,MMP9,STAT1",2,Activated,2.7110000000000003,6.03e-06,0.0071,"APOBEC3G,C4A/C4B,CD14,CTSS,DDX60,FN1,GBP1,GBP2,GBP4,HLA-E,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IL1RN,ISG15,MMP9,OAS1,SERPINE2,TAP1,TGFB1,TRIM21",23 (4),4,24hr_PROT_causal_unique,True,
267,HSF1, ,transcription regulator,HSF1,1,Inhibited,-2.5580000000000003,7e-06,0.0024,"BAG3,BAX,CBX3,DNMT1,EFEMP1,FBLN1,HSPB1,HSPE1,ITGB5,MBOAT7,MRPL18,NASP,NCOR1,RAB5C,RANBP1,RRAD,SERPINH1,SMC1A,SSBP1,ST13,STAT6,STIP1",22 (1),1,24hr_PROT_causal_unique,True,True
269,IFNA1/IFNA13, ,cytokine,IFNA1/IFNA13,1,Activated,2.449,9.37e-06,0.0006,"IFIT2,ISG15,MX1,OAS2,RSAD2,STAT1",6 (1),1,24hr_PROT_causal_unique,True,True
270,SPI1,0.098,transcription regulator,SPI1,1,Activated,2.5,1.25e-05,0.0097,"CCL4,CMPK2,HELZ2,IFI44L,IFIT1,IFIT2,IFIT3,IL1RN,ISG15,MT1G,MX1,OASL,PARP12,PTPN6,RSAD2,VIM",16 (1),1,24hr_PROT_causal_unique,True,True
271,CDC73,-0.516,other,"CDC73,STAT1",2,Activated,3.5780000000000003,1.49e-05,0.0083,"APOBEC3G,C4A/C4B,CD14,CTSS,DDX60,GBP1,GBP2,GBP4,HLA-E,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MMP9,OAS1,STAT1,TAP1,TRIM21",20 (2),2,24hr_PROT_causal_unique,True,
272,IFNE, ,cytokine,"IFNE,STAT1",2,Activated,3.5780000000000003,1.49e-05,0.0093,"APOBEC3G,C4A/C4B,CD14,CTSS,DDX60,GBP1,GBP2,GBP4,HLA-E,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MMP9,OAS1,STAT1,TAP1,TRIM21",20 (2),2,24hr_PROT_causal_unique,True,
274,AL162253.2, ,other,"AL162253.2,STAT1",2,Activated,3.5780000000000003,1.75e-05,0.0109,"APOBEC3G,C4A/C4B,CD14,CTSS,DDX60,GBP1,GBP2,GBP4,HLA-E,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MMP9,OAS1,STAT1,TAP1,TRIM21",20 (2),2,24hr_PROT_causal_unique,True,
275,HLA-B,1.461,transmembrane receptor,"HLA-B,STAT1",2,Activated,3.13,1.75e-05,0.0104,"APOBEC3G,C4A/C4B,CD14,CTSS,DDX60,GBP1,GBP2,GBP4,HLA-E,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MMP9,OAS1,OAS2,TAP1,TRIM21",20 (2),2,24hr_PROT_causal_unique,True,
277,MAPT, ,other,"JAK2,MAPT,STAT1",2,Activated,3.273,2.0399999999999998e-05,0.0155,"APOBEC3G,C4A/C4B,CD14,CD36,CTSS,DDX60,GBP1,GBP2,GBP4,HLA-E,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MMP9,OAS1,SET,TAP1,TRIM21",21 (3),2,24hr_PROT_causal_unique,True,
278,IFN Beta, ,group,"IFN Beta,STAT1,STAT6",3,Activated,3.674,2.08e-05,0.0266,"APOBEC3G,C4A/C4B,CD14,CTSS,DDX60,EIF2AK2,FN1,GBP1,GBP2,GBP4,HLA-E,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MMP9,MX1,OAS1,SPRY2,STAT1,TAP1,TRIM21",24 (3),3,24hr_PROT_causal_unique,True,True
285,STAT1,2.046,transcription regulator,STAT1,1,Activated,3.4410000000000003,3.79e-05,0.0153,"APOBEC3G,C4A/C4B,CD14,CTSS,DDX60,GBP1,GBP2,GBP4,HLA-E,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MMP9,OAS1,TAP1,TRIM21",19 (1),1,24hr_PROT_causal_unique,True,True
292,IRF9, ,transcription regulator,IRF9,1,Activated,2.2359999999999998,8.79e-05,0.0018,"IFIT1,IFIT2,IFIT3,STAT1,STAT2",5 (1),1,24hr_PROT_causal_unique,True,True
302,STING1,0.100,other,STING1,1,Activated,2.449,0.000149,0.0019,"IFI44L,IFIT1,IFIT2,ISG15,OAS1,RSAD2",6 (1),1,24hr_PROT_causal_unique,True,True
303,RACK1,0.626,enzyme,RACK1,1,Inhibited,-2.449,0.000149,0.0058,"DDX60,HERC5,IFIT2,IFIT3,ISG15,RSAD2",6 (1),1,24hr_PROT_causal_unique,True,True
309,GAPDH,-0.126,enzyme,GAPDH,1,Inhibited,-2.333,0.000303,0.0204,"CCL4,FCER1G,HLA-C,IFIT2,OAS1,OAS2,OAS3,STAT1,UBE2L6",9 (1),1,24hr_PROT_causal_unique,True,True
326,NEUROG1, ,transcription regulator,NEUROG1,1,Inhibited,-2.309,0.000986,0.0453,"ASS1,C3,CD82,CFH,FN1,LCP1,MMP9,PPIC,S100A4,SERPINF1,SQOR,THBS1",12 (1),1,24hr_PROT_causal_unique,True,True
