© 2000-2021 QIAGEN. All rights reserved.

Master Regulator	Expr Log Ratio	Molecule Type	Participating regulators	Depth	Predicted Activation	Activation z-score	p-value of overlap	Network bias-corrected p-value	Target Molecules in Dataset	Causal network	Target-connected regulators
OCLN	 	other	AMPK,FOXO3,HDAC2,MYC,OCLN,SIRT1,SREBF1,STAT1,STAT5a/b,TP53	3	 	0.090	7.13E-12	4.43E-02	ABCB1,ACTB,AK1,ALCAM,APOBEC3F,APOBEC3G,ARF4,BAG1,BAX,BCOR,BID,BUB1B,BZW2,C4A/C4B,CAP2,CASP1,CCL4,CD14,CD36,CD44,CDK1,CDKN2C,CES2,COL1A1,COMP,COX4I1,COX5A,CTSD,CTSS,CYCS,CYP51A1,DDX60,DNMT1,DUT,ECM1,EIF4E,ENG,FAM3C,FDPS,FKBP3,FN1,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GLB1,GPNMB,GTF2B,HLA-E,HMGB1,HMGN2,HMOX1,HSPB1,IDI1,IFI44L,IGFBP3,IGFBP7,IL1RN,ISCU,ISG15,LGALS3,MAD1L1,MGST2,MMP2,MMP9,MTA1,MX1,MX2,NCF1,NDRG1,NPM1,NT5E,OASL,PDCD4,PFKP,PHGDH,PLAU,POLDIP3,POLR2D,PPM1A,PPP3CA,PPP4R2,PRAG1,PREX1,PTPN6,RAD23A,RALY,RCC1,RFTN1,RNASET2,RPL11,RPS27L,RRAD,RSAD2,S100A4,SERPINE2,SOD1,SRC,SRSF1,ST14,STAT1,STIP1,STMN1,SUMO1,SUMO2,SUMO3,TAGLN2,TANK,TAP1,TAP2,TFRC,TGFB1,THBD,THBS1,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,UBE2I,VIM,YWHAH	123 (10)	10
UGDH	0.058	enzyme	APP,MMP9,NFkB (complex),PGR,PPARG,RAC1,RHOA,UGDH	3	 	-0.728	8.20E-12	3.70E-03	ABCB1,ACSL1,BAX,C3,CCL4,CD36,CD44,CDK1,CEBPB,COL1A1,COL1A2,CPT2,CTSD,CTSL,DDX60,DPYSL2,DYNLL1,ERAP1,EZR,FABP5,FN1,FOSL1,GBP1,GDF15,GLUL,GOT1,HERC5,HLA-F,HMOX1,IFI16,IFI35,IFI44L,IFIT1,IFIT2,IFIT3,ISG15,JUN,KYNU,LPL,MMP2,MMP9,MTA1,MX1,MX2,NAMPT,NDRG1,NFKB1,NFKB2,OAS1,OAS2,OAS3,OASL,PDLIM1,PFKP,PLAU,PLIN2,PXN,RELA,RHOC,RSAD2,S100A8,SAR1A,SERPINE2,SHBG,TAP1,TDO2,TGFB1,TGM2	68 (8)	8
IFNA2	 	cytokine	EIF2A,EIF2AK2,IFNA2,JAK1,MMP9,NFkB (complex),P38 MAPK,PRKCQ,RAC1,STAT1,STAT3,TYK2	2	Activated	2.753	9.06E-12	6.50E-03	ABCB1,APOBEC3G,ATP6AP2,BAX,C3,C4A/C4B,CCL4,CD14,CD36,CD44,CD55,CD82,CHI3L1,COL1A1,CTSS,DDX58,DDX60,DNMT1,EIF2AK2,ERAP1,FABP5,FN1,FOSL1,GBP1,GBP2,GBP4,GOLGA2,GOT1,HERC5,HK2,HLA-A,HLA-C,HLA-E,HMGCS1,HMOX1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,KAT2B,KYNU,LILRB4,MIF,MMP9,MTA1,MX1,NDRG1,NFATC2,NPM1,OAS1,OAS2,OAS3,PARP12,PARP9,PCK2,PLAU,PML,PSIP1,PTPN2,PXN,RSAD2,SAR1A,SERPINE2,SLC2A1,STAT1,TDO2,TGM2,TRADD,TRIM21,UBE2L6,VIM	76 (12)	12
SIRT1	 	transcription regulator	AMPK,FOXO3,HDAC2,MYC,SIRT1,SREBF1,STAT1,STAT5a/b,TP53	2	 	0.362	9.71E-12	4.57E-02	ABCB1,ACTB,AK1,ALCAM,APOBEC3F,APOBEC3G,ARF4,BAG1,BAX,BCOR,BID,BUB1B,BZW2,C4A/C4B,CAP2,CASP1,CD14,CD36,CD44,CDK1,CDKN2C,CES2,COL1A1,COMP,COX4I1,COX5A,CTSD,CTSS,CYCS,CYP51A1,DDX60,DNMT1,DUT,ECM1,EIF4E,ENG,FAM3C,FDPS,FKBP3,FN1,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GLB1,GPNMB,GTF2B,HLA-E,HMGB1,HMGN2,HMOX1,HSPB1,IDI1,IFI44L,IGFBP3,IGFBP7,IL1RN,ISCU,ISG15,LGALS3,MAD1L1,MGST2,MMP2,MMP9,MTA1,MX1,MX2,NCF1,NDRG1,NPM1,NT5E,OASL,PDCD4,PFKP,PHGDH,PLAU,POLDIP3,POLR2D,PPM1A,PPP3CA,PPP4R2,PRAG1,PREX1,PTPN6,RAD23A,RALY,RCC1,RFTN1,RNASET2,RPL11,RPS27L,RRAD,RSAD2,S100A4,SERPINE2,SOD1,SRC,SRSF1,ST14,STAT1,STIP1,STMN1,SUMO1,SUMO2,SUMO3,TAGLN2,TANK,TAP1,TAP2,TFRC,TGFB1,THBD,THBS1,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,UBE2I,VIM,YWHAH	122 (9)	9
ARHGEF1	0.361	other	ARHGEF1,ATF2,Creb,DYRK1B,ERK1/2,Jnk,MYC,NFAT5,NFkB (complex),RAC1,RELA,RHOA,RHOC,ROCK,ROCK1,SRC (family),STAT3,Tgf beta	3	 	-1.106	9.85E-12	3.69E-02	ABCB1,ABCC1,ALCAM,ARHGDIB,ARRB1,ASNS,ATP2A2,ATP6AP2,B2M,BAG1,BAX,BCOR,BZW2,C3,CCL4,CD36,CD44,CEBPA,CHI3L1,CLEC11A,COL1A1,COL1A2,COX5A,CP,DNMT1,DOCK8,EIF4E,ERAP1,EZR,FABP5,FOSL1,GDF15,GLUL,GTF2B,HERC5,HK2,HLA-A,HLA-F,HSPB1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IPO7,IRF2BP2,JUN,JUND,KAT2B,KYNU,MMP2,MTA1,MX1,MX2,NAMPT,NDRG1,NFATC2,NFKB1,NFKB2,NOP16,NPM1,NUDT1,OAS1,OASL,PDCD4,PFKP,PLG,POLDIP3,POLR2D,PSIP1,PTPN2,PXN,RAB4B,RCC1,RGS1,RHOC,RPL11,RPS7,RSAD2,SAR1A,SERPINE2,SLC2A1,SRSF1,SUMO1,SUMO2,SUMO3,TAP2,TAPBP,TDO2,TGFB1,TGM2,THBS1,TMSB10/TMSB4X,TRAF1,UBE2I,VIM,ZFP91	99 (18)	17
IFNA2	 	cytokine	IFNA2	1	Activated	3.272	1.01E-11	1.00E-04	BAX,DDX58,DDX60,EIF2AK2,GBP1,GBP2,GOT1,HERC5,HMGCS1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,LILRB4,MMP9,MX1,OAS1,OAS2,OAS3,PARP12,PML,RSAD2,STAT1,UBE2L6	27 (1)	1
RPL11	-1.010	other	MYC,RPL11,TP53	2	Activated	3.367	1.05E-11	1.44E-02	ABCB1,ABCC1,ACTB,AK1,ALCAM,AURKA,BAG1,BCOR,BID,BUB1B,BZW2,CASP1,CD44,CDK1,CES2,COL1A1,COX5A,CTSD,DNMT1,DUT,ECM1,EIF4E,ENG,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,GTF2B,HK2,HMGB1,HMGN2,HMOX1,HSPB1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IGFBP7,IL1RN,IPO7,ISCU,ISG15,LGALS3,MAD1L1,MGST2,MMP2,MMP9,MTA1,MX1,MX2,NCL,NDRG1,NPM1,OAS1,OASL,PDCD4,PFKP,PHGDH,PLAU,POLDIP3,POLR2D,PPM1A,PPP3CA,PPP4R2,PRAG1,PTPN6,RAD23A,RALY,RCC1,RPS27L,RRAD,RSAD2,S100A4,SERPINE2,SLC2A1,SRC,SRSF1,ST14,STAT1,STMN1,SUMO1,SUMO2,SUMO3,TAGLN2,TANK,TAP1,TAP2,TFRC,TGFB1,THBD,THBS1,TMSB10/TMSB4X,TPX2,TRAF1,UBE2I,YWHAH	102 (3)	3
CLCF1	 	cytokine	Akt,CLCF1,ERK1/2,GSK3B,IL6ST,JAK1,LIFR,Mapk,RHOA,STAT1,STAT3,TP63	3	Activated	3.286	1.07E-11	2.95E-02	APOBEC3G,APOC3,ARRB1,ATG9A,ATP6AP2,B2M,BAX,C3,C4A/C4B,CAST,CCL4,CD14,CD44,CD82,CDK6,CEBPA,CHI3L1,CLEC11A,COL1A1,CPT2,CSTA,CTSS,DDX60,DNMT1,ENG,EZR,FN1,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GPNMB,HK2,HLA-C,HLA-E,HLA-F,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,ISG15,JUN,JUND,KAT2B,KHSRP,KRT10,MMP2,MMP9,MX1,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,NT5E,OAS1,PEA15,PLAU,PLG,PNPT1,POSTN,PRPF4,PSIP1,PTPN2,RAB4B,RCC1,RHOC,S100A4,S100A8,SLC2A1,SOD1,STAT1,TAP2,TAPBP,TGFB1,THBS1,TPM1,TRIM21,VIM,WTAP	89 (12)	9
PPARG	 	ligand-dependent nuclear receptor	APP,MMP9,NFkB (complex),PGR,PPARG,RAC1,RHOA	2	 	0.611	1.28E-11	4.00E-03	ABCB1,ACSL1,BAX,C3,CCL4,CD36,CD44,CDK1,CEBPB,COL1A1,COL1A2,CPT2,CTSD,CTSL,DDX60,DPYSL2,DYNLL1,ERAP1,EZR,FABP5,FN1,FOSL1,GBP1,GDF15,GLUL,GOT1,HERC5,HLA-F,HMOX1,IFI16,IFI35,IFI44L,IFIT1,IFIT2,IFIT3,ISG15,JUN,KYNU,MMP2,MMP9,MTA1,MX1,MX2,NAMPT,NDRG1,NFKB1,NFKB2,OAS1,OAS2,OAS3,OASL,PDLIM1,PFKP,PLAU,PLIN2,PXN,RELA,RHOC,RSAD2,S100A8,SAR1A,SERPINE2,SHBG,TAP1,TDO2,TGFB1,TGM2	67 (7)	7
CRLF1	 	cytokine	Akt,CRLF1,ERK1/2,GSK3B,IL6ST,JAK1,LIFR,Mapk,RHOA,STAT1,STAT3,TP63	3	Activated	3.286	1.29E-11	3.21E-02	APOBEC3G,APOC3,ARRB1,ATG9A,ATP6AP2,B2M,BAX,C3,C4A/C4B,CAST,CCL4,CD14,CD44,CD82,CDK6,CEBPA,CHI3L1,CLEC11A,COL1A1,CPT2,CSTA,CTSS,DDX60,DNMT1,ENG,EZR,FN1,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GPNMB,HK2,HLA-C,HLA-E,HLA-F,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,ISG15,JUN,JUND,KAT2B,KHSRP,KRT10,MMP2,MMP9,MX1,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,NT5E,OAS1,PEA15,PLAU,PLG,PNPT1,POSTN,PRPF4,PSIP1,PTPN2,RAB4B,RCC1,RHOC,S100A4,S100A8,SLC2A1,SOD1,STAT1,TAP2,TAPBP,TGFB1,THBS1,TPM1,TRIM21,VIM,WTAP	89 (12)	9
PRUNE1	 	enzyme	Akt,ERK1/2,Focal adhesion kinase,MYC,NANOG,P38 MAPK,PRUNE1,Rac	3	Inhibited	-2.621	1.38E-11	3.70E-03	ABCB1,ABCC1,ALCAM,ARRB1,B2M,BAG1,BAX,BCOR,BZW2,C3,CCL4,CD36,CD44,CD55,CD82,CDK6,CEBPA,CLEC11A,COL1A1,COX5A,EIF4E,EZR,FN1,FOSL1,GBP1,GMFG,GOLGA2,GTF2B,HK2,HLA-A,HMOX1,HSPB1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IPO7,JUND,LGALS1,MIF,MX1,MX2,NDUFB8,NFKB1,NPM1,OAS1,OASL,PEA15,PHACTR2,PLAU,PLG,POLDIP3,POLR2D,PRRC2C,RAB4B,RCC1,RPL11,RSAD2,S100A6,SERPINE2,SET,SLC2A1,SRSF1,STAT1,SUMO1,SUMO2,SUMO3,TAP1,TAP2,TAPBP,TGFB1,TRADD,UBE2I,WTAP,YWHAE	77 (8)	5
PXN	-1.749	other	Akt,Ap1,ATF2,CEBPA,CHEK1,DYRK1B,ELK1,ERK1/2,EZH2,FOSL1,FOXO1,FOXO3,GSK3B,IRF3,JUN,MED1,MMP12,MMP2,NFAT5,NFkB (complex),NR4A1,NRF1,PDGFRA,PHB2,PXN,RAC1,RB1,ROCK,SRC (family),SREBF2,STAT1,YBX1	3	Inhibited	-2.887	1.55E-11	3.89E-02	A2M,ACSL1,ACTB,ALB,APOBEC3G,ARRB1,ASNS,ATP2A2,B2M,BABAM2,C3,C4A/C4B,CCL4,CD14,CD36,CD82,CDK1,CDK6,CEBPA,CEBPB,CLEC11A,CLTC,CP,CTSS,DAB2,DDX58,DDX60,EDF1,EFEMP1,EHD1,ERMP1,EZR,FABP5,FDPS,FN1,FOSL1,GBP2,GBP4,GOT1,H1-10,H2AX,HERC5,HK2,HLA-A,HLA-B,HLA-E,HLA-F,HYOU1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGLL1/IGLL5,IL1RN,IRF5,IRF8,ISG15,ITGB5,JUND,KRT10,KYNU,LTF,MAD1L1,MMP9,MTA1,NCOA7,NDUFB8,NOP16,NRP1,NUDT1,OAS1,OAS2,PEA15,PFKP,PLAU,PLG,PPP3CB,PSMB7,PSMD3,PSME3,RAB4B,RABGAP1L,RBL2,RPS7,RSAD2,RUNX1,S100A4,S100A9,SAR1A,SCPEP1,SERPINF1,SLC7A11,SOD1,SPRY2,SRC,TANK,TAP1,TAP2,TAPBP,TDO2,TGFB1,THBD,TRIM21,TXN,UBE2I,WTAP	108 (32)	32
FES	-0.124	kinase	ERK1/2,FES,GSK3B,Mapk,PLD2,RHOA,STAT1,STAT3,STAT5a/b,TP63	3	Inhibited	-3.579	2.02E-11	2.65E-02	APOBEC3G,APOC3,ARRB1,ATG9A,ATP6AP2,B2M,BAX,C3,C4A/C4B,CAST,CCL4,CD14,CD44,CD82,CDK6,CDKN2C,CEBPA,CHI3L1,CLEC11A,COL1A1,CPT2,CSTA,CTSS,DDX60,DNMT1,ENG,EZR,FN1,FUBP1,GBP1,GBP2,GBP4,GDF15,GPNMB,HK2,HLA-A,HLA-E,HMOX1,IDI1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,ISG15,JUND,KAT2B,KHSRP,KRT10,MMP2,NAMPT,NDRG1,NFATC2,NFKB2,NPM1,NT5E,OAS1,PLAU,PNPT1,POSTN,PRPF4,PSIP1,PTPN2,RAB4B,RCC1,RFTN1,RHOC,S100A4,S100A8,SLC2A1,SOD1,STAT1,STIP1,TAP1,TAP2,TAPBP,TGFB1,THBS1,TPM1,TRIM21,VIM	85 (10)	8
PLA2R1	 	transmembrane receptor	ERK1/2,JAK2,P38 MAPK,PLA2R1,RAC1,RHOA,STAT1,STAT3,STAT5a/b	3	 	1.937	2.09E-11	9.60E-03	APOBEC3G,ARRB1,ATP5PD,ATP6AP2,B2M,C3,C4A/C4B,CCL4,CD14,CD36,CD44,CD55,CD82,CDKN2C,CEBPA,CHI3L1,CLEC11A,COL1A1,COX5B,CTSA,CTSD,CTSS,CYB5R3,DDX60,DNMT1,DPYSL2,EZR,FOSL1,GBP1,GBP2,GBP4,GDF15,GOLGA2,HK2,HLA-A,HLA-E,HMOX1,IDI1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,JUND,KAT2B,LAP3,MGST1,MIF,MMP2,NAMPT,NDRG1,NDUFS3,NFATC2,NFKB1,NFKB2,NPM1,OAS1,PEBP1,PSIP1,PTPN2,RAB4B,RFTN1,RHOC,SET,SLC2A1,SQOR,STIP1,TAP2,TAPBP,TGFB1,TGM2,TRADD,TRIM21,VIM	77 (9)	9
GCSAM	 	other	Creb,ERK1/2,EZR,GCSAM,MYC,RAC1,RHOA,RHOC,ROCK,ROCK1,Tgf beta	3	Inhibited	-3.845	2.18E-11	2.50E-03	ABCC1,ALCAM,ARRB1,B2M,BAG1,BAX,BCOR,BZW2,C3,CCL4,CD44,CEBPA,CEBPB,CLEC11A,COL1A1,COL1A2,COX5A,EIF4E,EZR,FN1,FOSL1,GDF15,GLUL,GTF2B,HK2,HLA-A,HSPB1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IPO7,JUND,MMP2,MMP9,MX1,MX2,NOP16,NPM1,OAS1,OASL,PDCD4,PLAU,POLDIP3,POLR2D,RAB4B,RCC1,RHOC,RPL11,RSAD2,SERPINE2,SLC2A1,SRSF1,STAT1,SUMO1,SUMO2,SUMO3,TAP1,TAP2,TAPBP,TGFB1,THBS1,UBE2I	65 (11)	10
Pkg	 	group	ERK1/2,MYC,Pkg	2	Inhibited	-4.296	3.03E-11	1.30E-03	ABCC1,ALCAM,ARRB1,B2M,BAG1,BAX,BCOR,BZW2,C3,CCL4,CD44,CEBPA,CEBPB,CLEC11A,COL1A1,COX5A,EIF4E,EZR,FN1,GTF2B,HK2,HLA-A,HSPB1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IPO7,JUN,JUND,MMP2,MX1,MX2,NPM1,OAS1,OASL,PDCD4,PLAU,POLDIP3,POLR2D,PRDX2,RAB4B,RCC1,RPL11,RSAD2,SERPINE2,SLC2A1,SRSF1,STAT1,SUMO1,SUMO2,SUMO3,TAP1,TAP2,TAPBP,TXN,UBE2I	59 (3)	3
NONO	-0.365	transcription regulator	NONO	1	Activated	5.745	4.13E-11	1.00E-04	CMPK2,DDX58,DDX60,DDX60L,EIF2AK2,GBP1,GBP4,HERC5,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MX1,MX2,NT5C3A,OAS1,OAS2,OAS3,OASL,PARP14,PARP9,PML,PNPT1,RNF213,RSAD2,SAMD9,SLFN5,STAT1,STAT2,TRIM25,UBE2L6	33 (1)	1
EBI3	 	cytokine	Akt,EBI3,GSK3B,Mapk,RHOA,STAT1,STAT3,TP63	3	Activated	4.025	6.38E-11	3.13E-02	APOBEC3G,APOC3,ATG9A,ATP6AP2,B2M,BAX,C4A/C4B,CAST,CD14,CD44,CD82,CDK6,CEBPB,CHI3L1,COL1A1,CPT2,CSTA,CTSS,DDX60,DNMT1,ENG,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GPNMB,HK2,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,ISG15,JUN,KAT2B,KHSRP,KRT10,MMP2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,NT5E,OAS1,PEA15,PLAU,PLG,PNPT1,POSTN,PRPF4,PSIP1,PTPN2,RCC1,RHOC,S100A4,S100A8,SLC2A1,SOD1,STAT1,TAP1,TGFB1,THBS1,TPM1,TRIM21,VIM,WTAP	80 (8)	8
IL1RN	1.373	cytokine	IFNG,IL1RN,NFkB (complex)	2	Inhibited	-4.781	7.22E-11	1.36E-02	ABCB1,AIF1,BAX,C3,CASP1,CCL4,CD44,CEBPB,CGAS,CMPK2,CP,CSF1R,CTSS,DDX58,DDX60,DDX60L,EIF2AK2,ERAP1,FABP5,FCER1G,GBP1,GBP2,HERC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-F,HMOX1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IRF8,ISG15,KYNU,LGALS9,LPL,MTA1,MX1,MX2,NAMPT,NFKB1,NFKB2,OAS1,OAS2,OAS3,OASL,PLAU,PML,PRDX2,PXN,RSAD2,SAMD9,SAR1A,SERPINB9,SLFN5,SOAT1,STAT1,STAT2,TAP1,TAP2,TCIRG1,TDO2,TGM2,THBS1,THEMIS2,VIM	70 (3)	3
TGM2	2.017	enzyme	TGM2	1	Activated	2.897	8.32E-11	1.00E-04	C3,CD36,CDK6,CFP,DDX60,DDX60L,EHD1,FCER1G,GTPBP10,HK3,HLA-B,IFI35,IFIT1,IFIT2,IFIT3,ITGAX,LGALS9,LSP1,MDN1,MMP2,MMP9,NPC2,OAS1,OAS2,OAS3,OASL,OTUD6B,PARP14,PARP9,POR,RNF213,S100A8,SIRPA,SLC25A15,SLC25A20,SLFN5,SLPI,STAT1,TAP1,TGFB1,THBS1,TTC27,UBA7	43 (1)	1
IFNA1/IFNA13	 	cytokine	Akt,GSK3B,IFNA1/IFNA13,Mapk,PI3K (complex),RHOA,STAT1,STAT3,TP63,TYK2	3	Activated	4.025	1.13E-10	4.32E-02	APOBEC3G,APOC3,ATG9A,ATP6AP2,BAX,C4A/C4B,CAST,CCL4,CD14,CD36,CD44,CD82,CDK6,CEBPB,CHI3L1,COL1A1,CPT2,CSTA,CTSS,DDX60,DNMT1,ENG,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GPNMB,HK2,HLA-E,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,ISG15,JUN,KAT2B,KHSRP,KRT10,LASP1,MMP2,MX1,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,NT5E,OAS2,PEA15,PLAU,PLG,PNPT1,POSTN,PRPF4,PSIP1,PTPN2,RCC1,RHOC,RSAD2,S100A4,S100A8,SLC2A1,SOD1,STAT1,TAP1,TGFB1,THBS1,TPM1,TRIM21,VIM,WTAP	80 (10)	10
IFNL4	 	cytokine	IFNL4	1	Activated	3.162	2.02E-10	1.00E-04	DDX58,DHX58,IFIH1,IFIT1,ISG15,MX1,OAS1,OAS2,OASL,STAT1	10 (1)	1
PTPN11	-0.497	phosphatase	EGFR,EPHA2,ERK,ERK1/2,IGF1R,IRF1,Mapk,NFkB (complex),PTPN11,PXN,RAC1,SRC,STAT1,STAT3	2	 	-0.453	2.16E-10	3.86E-02	ABCB1,APOC3,ARRB1,ATP6AP2,B2M,C3,C4A/C4B,CASP1,CCL4,CD14,CD44,CEBPA,CLEC11A,CMPK2,COL1A1,CTSD,CTSS,DDX60,DNMT1,EIF2AK2,ERAP1,EZR,FABP5,FN1,FOSL1,GBP2,GBP4,GDF15,GRN,HELZ2,HERC5,HLA-A,HLA-E,HLA-F,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,ISG15,JUND,KAT2B,KYNU,MAP4K4,MMP2,MMP9,MTA1,MX1,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,OAS1,PPIA,PSIP1,PSMB3,PSMB7,PTPN2,PXN,RAB4B,SAR1A,SLC2A1,SLC7A11,SOD1,SRC,SRSF1,TAP2,TAPBP,TDO2,TGFB1,THBS1,TRIM21	78 (14)	13
CUL4B	0.351	other	CUL4B,MYC	2	Activated	4.323	2.30E-10	1.00E-04	ABCC1,ALCAM,BAG1,BAX,BCOR,BZW2,CD44,COL1A1,COX5A,EIF4E,GLO1,GTF2B,HK2,HSPB1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IPO7,MX1,MX2,NDUFB1,NPM1,OAS1,OASL,PDCD4,PLAU,POLDIP3,POLR2D,RCC1,RPL11,RSAD2,SERPINE2,SLC2A1,SOD1,SRSF1,STAT1,SUMO1,SUMO2,SUMO3,TPI1,TPM3,UBE2I	45 (2)	2
ROCK	 	group	Creb,ERK1/2,EZR,MYC,ROCK,Tgf beta	2	Inhibited	-3.969	2.32E-10	5.30E-03	ABCC1,ALCAM,ARRB1,B2M,BAG1,BAX,BCOR,BZW2,C3,CCL4,CD44,CEBPA,CEBPB,CLEC11A,COL1A1,COL1A2,COX5A,EIF4E,EZR,FN1,GTF2B,HK2,HLA-A,HSPB1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IPO7,JUN,JUND,MMP2,MMP9,MX1,MX2,NOP16,NPM1,OAS1,OASL,PDCD4,PLAU,POLDIP3,POLR2D,RAB4B,RCC1,RPL11,RSAD2,SERPINE2,SLC2A1,SRSF1,STAT1,SUMO1,SUMO2,SUMO3,TAP1,TAP2,TAPBP,THBS1,UBE2I	61 (6)	6
SPP1	 	cytokine	SPP1	1	 	0.426	2.46E-10	1.00E-04	AURKA,BAX,CCL4,CD44,COX7A2L,DHCR7,FN1,FOXRED1,HMOX2,JUN,MMP2,MMP9,NDUFA9,NDUFB9,NDUFS4,NDUFS8,PGD,PLAU,POR,TGFB1,VAT1,VIM	22 (1)	1
AMBRA1	 	other	AMBRA1,CCND1,CHEK1,MYC,SMAD4	2	Activated	2.994	2.80E-10	1.90E-03	ABCC1,AHNAK,ALCAM,APOC3,BAG1,BAX,BCLAF1,BCOR,BZW2,C11orf58,CD44,CDK6,COL1A1,COX5A,DNMT1,EEF1B2,EIF4E,FN1,G3BP1,GTF2B,H2AX,HK2,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IPO7,ITIH2,KRT10,LASP1,MARCKS,MX1,MX2,NPM1,OAS1,OASL,PDCD4,PLAU,POLDIP3,POLR2D,RCC1,RMDN3,RPL11,RPL13,RPL27A,RSAD2,SEC61B,SLC2A1,SRSF1,STAT1,SUMO1,SUMO2,SUMO3,TALDO1,THBS1,TPI1,UBE2I	59 (5)	5
DDX5	0.069	enzyme	DDX5	1	 	-1.342	3.46E-10	1.00E-04	ATP5F1C,ATP5PB,ATP5PD,COX5A,COX5B,CYCS,FH,FOSL1,JUN,MDH1,NDUFA2,NDUFA4,NDUFA6,NDUFB1,NDUFS5,NDUFS6,S100A4,TGFB1,UQCR10,UQCRB	20 (1)	1
PIM1	 	kinase	ERK1/2,MDM2,MYC,PIM1,PRKAA	2	Inhibited	-3.402	3.72E-10	9.50E-03	ABCC1,ALCAM,ARRB1,B2M,BAG1,BCOR,BZW2,C3,CCL4,CD44,CEBPA,CEBPB,CLEC11A,COL1A1,COX5A,DNMT1,EIF4E,EZR,FN1,FOSL1,GTF2B,HK2,HLA-A,HSPB1,HYOU1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IL1RN,IPO7,JUN,JUND,LYZ,MMP2,MX1,MX2,NPM1,OAS1,OASL,PDCD4,PLAU,POLDIP3,POLR2D,RAB4B,RCC1,RPL11,RSAD2,SERPINE2,SLC2A1,SRSF1,STAT1,STAT4,SUMO1,SUMO2,SUMO3,TAP1,TAP2,TAPBP,UBE2I,VIM	63 (5)	5
LARP1	-0.514	translation regulator	LARP1	1	Activated	3.400	3.77E-10	1.00E-04	EEF1B2,EEF1D,EIF4B,RACK1,RPL11,RPL13,RPL19,RPL26,RPL27A,RPL28,RPL29,RPL31,RPL36A,RPL37,RPS12,RPS15,RPS19,RPS21,RPS28,RPS29,RPS3,RPS7,RPS9,TPT1,VIM	25 (1)	1
miR-182-5p (and other miRNAs w/seed UUGGCAA)	 	mature microRNA	miR-182-5p (and other miRNAs w/seed UUGGCAA)	1	Inhibited	-3.742	3.82E-10	1.00E-04	CMPK2,DDX58,DDX60,DDX60L,FN1,IFI44L,IFIT1,ISG15,OAS2,RSAD2,SAMD9,SERPINE2,SLFN5,STAT1	14 (1)	1
